Titre,Auteurs,Année,Source,Citations,DOI,Lien,Terme_recherche
CSBD Healing in Rats after Application of Bovine Xenogeneic Biomaterial Enriched with Magnesium Alloy.,"Jerbić Radetić AT, Zoričić Cvek S, Tomas M, Erjavec I, Oguić M, Perić Kačarević Ž, Cvijanović Peloza O.",2021,Int J Mol Sci,None,10.3390/ijms22169089,https://europepmc.org/article/MED/34445794,"""mucoderm"""
The Progress of Decellularized Scaffold in Stomatology.,"Zeng A, Li H, Liu J, Wu M.",2022,Tissue Eng Regen Med,None,10.1007/s13770-022-00432-w,https://europepmc.org/article/MED/35320505,"""mucoderm"""
Clinical applications of acellular dermal matrices: A review.,"Petrie K, Cox CT, Becker BC, MacKay BJ.",2022,Scars Burn Heal,None,10.1177/20595131211038313,https://europepmc.org/article/MED/35083065,"""mucoderm"""
A New Matrix for Soft Tissue Management.,"De Santis D, Luciano U, Pancera P, Castegnaro G, Alberti C, Gelpi F.",2022,J Clin Med,None,10.3390/jcm11154486,https://europepmc.org/article/MED/35956103,"""mucoderm"""
Dynamics of CSBD Healing after Implementation of Dentin and Xenogeneic Bone Biomaterial.,"Cvijanović Peloza O, Jerbić Radetić AT, Baričić M, Bukovac L, Zoričić Cvek S.",2023,Materials (Basel),None,10.3390/ma16041600,https://europepmc.org/article/MED/36837228,"""mucoderm"""
Abdominal distension and diarrhea as the main symptoms of primary amyloidosis: A case report and literature review.,"Zhang J, Shao C, Zhu J, Tu C, Lv X.",2016,Exp Ther Med,None,10.3892/etm.2016.3093,https://europepmc.org/article/MED/27168808,"""mucoderm"""
Biocompatibility Evaluation of Human and Porcine Acellular Dermal Matrix on Human Primary Gingival Fibroblasts: In Vitro Comparative Study.,"Azab E, Youssef AR.",2021,Eur J Dent,None,10.1055/s-0041-1727551,https://europepmc.org/article/MED/34144630,"""mucoderm"""
In Vitro Direct and Indirect Cytotoxicity Comparative Analysis of One Pre-Hydrated versus One Dried Acellular Porcine Dermal Matrix.,"Guarnieri R, Reda R, Di Nardo D, Miccoli G, Zanza A, Testarelli L.",2022,Materials (Basel),None,10.3390/ma15051937,https://europepmc.org/article/MED/35269168,"""mucoderm"""
Reconstructive Peri-Implantitis Therapy by Using Bovine Bone Substitute with or without Hyaluronic Acid: A Randomized Clinical Controlled Pilot Study.,"Rakašević D, Šćepanović M, Mijailović I, Mišić T, Janjić B, Soldatović I, Marković A.",2023,J Funct Biomater,None,10.3390/jfb14030149,https://europepmc.org/article/MED/36976073,"""mucoderm"""
Three-dimensional digital planning of class III decompensation with clear aligners: Hard and soft tissue augmentation with concomitant corticotomy to stretch the limits of safe orthodontic treatment.,"Brugnami F, Meuli S, Caiazzo A, Marrocco S, Scopelliti D.",2021,J Oral Biol Craniofac Res,None,10.1016/j.jobcr.2021.02.011,https://europepmc.org/article/MED/33732611,"""mucoderm"""
Complete root coverage in the treatment of Miller class III or RT2 gingival recessions: a systematic review and meta-analysis.,"Fernández-Jiménez A, García-De-La-Fuente AM, Estefanía-Fresco R, Marichalar-Mendia X, Aguirre-Urizar JM, Aguirre-Zorzano LA.",2021,BMC Oral Health,None,10.1186/s12903-021-01494-3,https://europepmc.org/article/MED/33752657,"""mucoderm"""
Treatment of Severely Resorbed Maxilla Due to Peri-Implantitis by Guided Bone Regeneration Using a Customized Allogenic Bone Block: A Case Report.,"Blume O, Hoffmann L, Donkiewicz P, Wenisch S, Back M, Franke J, Schnettler R, Barbeck M.",2017,Materials (Basel),None,10.3390/ma10101213,https://europepmc.org/article/MED/29065477,"""mucoderm"""
Porcine Acellular Dermal Matrix: An Alternative to Connective Tissue Graft-A Narrative Review.,Dadlani S.,2021,Int J Dent,None,10.1155/2021/1652032,https://europepmc.org/article/MED/34527053,"""mucoderm"""
Enhanced Wound Healing Potential of Primary Human Oral Fibroblasts and Periodontal Ligament Cells Cultured on Four Different Porcine-Derived Collagen Matrices.,"Lin Z, Nica C, Sculean A, Asparuhova MB.",2020,Materials (Basel),None,10.3390/ma13173819,https://europepmc.org/article/MED/32872458,"""mucoderm"""
Atelocollagen Application in Human Periodontal Tissue Treatment-A Pilot Study.,"Wyganowska-Swiatkowska M, Duda-Sobczak A, Corbo A, Matthews-Brzozowska T.",2020,Life (Basel),None,10.3390/life10070114,https://europepmc.org/article/MED/32708681,"""mucoderm"""
Dynamics of Matrix Metalloproteinase-1 and -8 Secretion in Gingival Crevicular Fluid after Gingival Recession Therapy via MCAT with Either Subepithelial Connective Tissue Graft or Collagen Matrix.,"Skurska A, Dymicka-Piekarska V, Milewski R, Pietruska M.",2021,Biomolecules,None,10.3390/biom11050731,https://europepmc.org/article/MED/34068848,"""mucoderm"""
Adsorption and Release of Growth Factors from Four Different Porcine-Derived Collagen Matrices.,"Nica C, Lin Z, Sculean A, Asparuhova MB.",2020,Materials (Basel),None,10.3390/ma13112635,https://europepmc.org/article/MED/32526991,"""mucoderm"""
A case of rapid growing colonic NK/T cell lymphoma complicated by Crohn's disease.,"Zheng S, Xu H, Ouyang Q, Xue L, Zhang Y, Cui D.",2013,Chin J Cancer Res,None,10.3978/j.issn.1000-9604.2012.12.06,https://europepmc.org/article/MED/23372350,"""mucoderm"""
